Title,Series_Title,Issue_Number,Issue_Variant,Image_url,Condition,Grade,Publisher,Publication_Year,Format,Tradition,Features,Era,Type,Genre,Character,Series,Universe,Sale_Currency,Sale_Price,Shipping_Price,Sell_Method,Num_of_Bids,Time_of_Sale,Sellers_Location,Sellers_Handle,Sellers_Feedback_Score,listing_url
Mixed Spiderman comic book lot. 5 Books Total. Excellent Condition!,Spider-Man,,,https://i.ebayimg.com/images/g/IpQAAOSwyZdjj1pQ/s-l500.png,--,,,,Mixed Lot,US Comics,,,Comic Book,,,,,US ,5.99,3.49,highest_bidder,2,2022-12-23,"Milford, Connecticut, United States",bayviewdesignllc,322,https://www.ebay.com/itm/155312952447?hash=item24295f947f:g:IpQAAOSwyZdjj1pQ&amdata=enc%3AAQAHAAAAoPW6LbCS9halGa7hv8McO9GHi9FoaHVJ4hO1Kb0oLrixElRGMqBfzw1cC41bWfK3wTvN2zdGCup7G5MlnjemYNhZFp8PXF%2FT29SBZc2qAMzaIHnZDd2YmFeOPnjVIuCSClsDZLAhwSTSu8sYFgOJeT%2Foj4UXxZpfA1Lv3wKaEYz2CcKJpI3XNVUUPIJdn%2BMG8W9mVrf6x4euq6Bk9U18EJE%3D%7Ctkp%3ABk9SR9r1tfunYQ
Marvel Tales #210 and 266 Spider-Man/ Venom/ Tarantula (1988/1992),Marvel Tales,9999, ,https://i.ebayimg.com/images/g/IDwAAOSwjCtjLHlF/s-l500.jpg,Good,,Marvel,1992,,US Comics,"Bagged, Reprint",Copper Age (1984-1991),Comic Book,Superhero,"Spider-Man, Tarantula, Venom",,Marvel (MCU),US ,5.25,4.25,buy_it_now,,2022-12-23,"Jersey City, New Jersey, United States",mvitale1,231,https://www.ebay.com/itm/133984434716?hash=item1f32183a1c:g:IDwAAOSwjCtjLHlF&amdata=enc%3AAQAHAAAAoCVxSoqUG20WRAqHAS4rbq9oN5SDuMfvhK7IZi56UHmMUPEghF3jFYVRrESBtxi9%2FhEhCHf6%2FZj%2Bk0Way%2FgeHsojkGpJzYFmc5RcJZ9iSRz1nEGwn2MnmZKLYfWAALdxJm1WBcXPRNk2OY%2BH6tTARnKlrLq%2Bq4MZ3sK%2Fi56WrQp2p%2F%2F35wxYau0QCVlDWBf%2BQC9z0as0j0zv4Ovy5qUa9I8%3D%7Ctkp%3ABk9SR-D1tfunYQ
Spider-Man 2099: Exodus Alpha #  1     (2022) Comics,,,,https://i.ebayimg.com/images/g/tPEAAOSwSC5jnI-w/s-l500.jpg,--,,,,,,,,,,,,,C ,2.25,9.95,highest_bidder,2,2022-12-23,"Windsor, Ontario, Canada",marmesza_0,1119,https://www.ebay.com/itm/364081593597?hash=item54c4f43cfd:g:tPEAAOSwSC5jnI-w&amdata=enc%3AAQAHAAAAoBkR0ye32zDAFaOJTUhh2Ommhg53jbZx2DCKP0VkmMIhugJ6onDcvsG6Q0w3JnF2TxqfJkQowt%2BWv9%2FpY83eWTAFsSVepOjYxQWbovYkvNuAR%2Frs1OudlUIddIOpDbaYRtuIqYPtSgLY6PNpAZwbUrncWMS89Q4%2FORTUxN93w4T%2BzNlF%2B2IQNy2en3ullpkC6y08L5d9gftw4ikYbnQE8eE%3D%7Ctkp%3ABk9SR971tfunYQ
"Amazing Spider-Man #121 CBCS 3.0 ""Death"" of Gwen Stacy ASM 1973 G/VG Key Grail ",The Amazing Spider-man,121,,https://i.ebayimg.com/images/g/-DAAAOSwDlpiI7YT/s-l500.jpg,--,3.0,Marvel,1973,Softcover,US Comics,"G/VG, Off-White To White Pages, 1st Edition",Bronze Age (1970-83),Comic Book,Superheroes,"Green Goblin, Gwen Stacy, Spider-Man",,Marvel (MCU),US ,374.99,0.0,best_offer_accepted,,2022-12-23,"Tulsa, Oklahoma, United States",tuf-nut1974,5996,https://www.ebay.com/itm/175187748797?hash=item28ca00e7bd:g:-DAAAOSwDlpiI7YT&amdata=enc%3AAQAHAAAAoFS67BgMVlKgB4Q68OsT6RG3AwWy3tkmQdQFp0qJGYX0aY%2FG%2B8PgOo4nsDs%2BWrOtDQC9eXYGjlMUQyLQMKTD%2BvJG3inCYD5bsvbPHwPbvesF%2FMS1H9mhG9TJolxaWNQGoRPeCdk1pFvyNyY0MXv0QhLnXBO4Fwywk3UUyZep3m%2B0fbtE0tmN0GI6fZIo1MWbSe4zZJas4B3Vn4pDD7YZXX8%3D%7Ctkp%3ABk9SR971tfunYQ
"KEYS! Marvel Spider-Man Comic Lot - 4 Issues! 2099 1, Web 1, Kraven's Last Hunt",Spider-Man,1,,https://i.ebayimg.com/images/g/InUAAOSwP0NjnI8f/s-l500.jpg,Very Good,9.8,Marvel Comics,,Mixed Lot,US Comics,Key Issue,Modern Age (1992-Now),Comic Book,,"Mary Jane Watson, Spider-Man (Peter Parker), Spider-Man 2099, Kraven the Hunter",,Marvel (MCU),US ,22.51,10.85,highest_bidder,11,2022-12-23,"Burlington, New Jersey, United States",waldo609,14,https://www.ebay.com/itm/125667230981?hash=item1d4259c505:g:InUAAOSwP0NjnI8f&amdata=enc%3AAQAHAAAAoNfqu7JLwjKtmf7pvU5%2BX1wygJiCgQR7rsok44pPP5cQ5St4zO7I5WGQAUQBlGzdH80yqzbNArWyE5%2BqWk9yOXNjH1ylroOH6jFAIwdaOOGpp7KzhXSfEsfrDwnGsu1BC%2BuT8RIdTbsU7UfODzF6wAiqs6xGNhGFSGacOMbsPNLu%2FR1bGgJ%2BxA%2BNmgF2PocN8aeiflitOX6vNtsWmbqbTiM%3D%7Ctkp%3ABk9SR971tfunYQ
The Amazing Spider-Man  Halloween Trick-Or-Read 2022    # 1   (2022) Comics,,,,https://i.ebayimg.com/images/g/6gQAAOSwDwhjnJAm/s-l500.jpg,--,,,,,,,,,,,,,C ,3.00,9.95,highest_bidder,3,2022-12-23,"Windsor, Ontario, Canada",marmesza_0,1119,https://www.ebay.com/itm/364081598367?hash=item54c4f44f9f:g:6gQAAOSwDwhjnJAm&amdata=enc%3AAQAHAAAAoCK6H0LZyiwDZfdOl%2F9jtMIGYKNU60Dalbl6Q%2FrwhvIkwJbWkQhTlR53xP2%2FXlNbMapQZrYrTq119MJdEdWxPs9jLq5JljKVMKey5YXMdC4sQqxHwj%2BwVVfU4GJpqpLmGu4iLH4tUoOZ8ReSGNRr17wXdUmGjZ%2F30ZBLtT5NAhtHUhGmwziQeFnbsYt90sKCo4yLOH%2FzJxv1OIVrEhacpB8%3D%7Ctkp%3ABk9SR971tfunYQ
Dark Web #1 (One Shot) Cover B Variant Bobby Hernandez Beyond Amazing Spider-Man,,,,https://i.ebayimg.com/images/g/BWAAAOSw0g5jmLeh/s-l500.jpg,Like New,,Marvel,2022,Single Issue,US Comics,,Modern Age (1992-Now),Comic Book,,"Spider-Man (Miles Morales), Spider-Man (Peter Parker), Spider-Man 2099",,Marvel (MCU),US ,5.16,4.95,buy_it_now,,2022-12-23,"Turlock, California, United States",the_comic_book_bin,5780,https://www.ebay.com/itm/134365956812?hash=item1f48d5cacc:g:BWAAAOSw0g5jmLeh&amdata=enc%3AAQAHAAAA4GpC%2BNE5LrJeqDqt0CV1NBBbC%2FbfKDDj772m3p6ZRcjwdx7PZW3dWRllNSQMl82jjsF0WGCvS3SGlUMtqI5%2Ft7SQKLSohZp55lsY29sgzUfdhsbIo9hcaNJAQjv%2BCZytgA5bUTy1I1vFgAil8peHKU7YCEFDzdwto2wdRJ%2BcSn8Ws2IJea1G%2FSYDtIuhC2x51YGEByOT1Ag5OaOK6W9kKjqqt5Ycj39SRG0NexGPjs8COBXMQ53fHUJiPwWEWRLon%2FGTCAVPtOCigTw0o0JjKs6IIVZZWW1w9nPT03CpKZqD%7Ctkp%3ABk9SR971tfunYQ
Spectacular Spider-Man Annual 1 very good condition ,Spectacular Spider-Man,,,https://i.ebayimg.com/images/g/VoUAAOSwFpxi3RcP/s-l500.jpg,Very Good,7.0,Marvel Comics,1979,Single Issue,US Comics,,Bronze Age (1970-83),Comic Book,,Spider-Man (Peter Parker),,Marvel (MCU),GBP,10.50,10.65,buy_it_now,,2022-12-23,"Wokingham, United Kingdom",jokirk-1943,286,https://www.ebay.com/itm/403820367795?hash=item5e0591cfb3:g:VoUAAOSwFpxi3RcP&amdata=enc%3AAQAHAAAAoK5vOxVZTmdMtuQg6k%2BBjNKQpWNcXbOsK7lz8cSzTdzgwUBYYU%2FY9UtyXBz%2B0ep7HktS%2BB7HBvPGvtIEa96mLSU1lzfaSANBleSMj7KPYSsx50ZBOM6APxigkyMKn4JrHtc3ejj1OMN5YqIHF7P2z9p%2B%2B7RmtA0wu82j9evrv%2BdKtInM8APUtuAj2bXikwfpWIQn%2B9RDSGzD%2FrZbU1pWglg%3D%7Ctkp%3ABk9SR971tfunYQ
🕷 AMAZING SPIDER-MAN #14 MALEEV 1:25 VARIANT NM HALLOW'S EVE DARK WEB CHASM,AMAZING SPIDER-MAN,14,,https://i.ebayimg.com/images/g/92gAAOSwnWBjn8Do/s-l500.jpg,Brand New,,MARVEL COMICS,2022,Single Issue,US Comics,"Bagged, Boarded",Modern Age (1985-Now),Comic Book,"Action/Adventure, Action, Superheroes",Spider-Man,,Marvel (MCU),US ,16.99,4.99,buy_it_now,,2022-12-23,"Union City, New Jersey, United States",milkbone88,8404,https://www.ebay.com/itm/155316557574?hash=item2429969706:g:92gAAOSwnWBjn8Do&amdata=enc%3AAQAHAAAA4F04obtfT8sJjPbFmYWYmskqulrE4ddoTqBkehOIYfXqMveM8IPleEVr4efJVdtT02SJXdv%2FfP%2FdYphFk5JUzzfHmDQeMBN4o3xVpAHtqye1nsZsosbI6SntljtpbgohcAVohDX7r8TTkt%2FPxABZvcSTRB9%2BRkcaboPh7UZEb2nsMZ5YNdNKhKRoDSyDlw6EuzWpTeoQKGGsPHBAemoq1g30NAY9KfuboEry5IcC1yRFmWzkDbVPgoWfues7H%2FiZ1JQ%2Bi5rcNsSUkVcLfaIIc%2BYNWrno9jERtS2NKLK94KVT%7Ctkp%3ABk9SR971tfunYQ
Spider-Man 2099: Exodus  #  4 Variant Edition     (2022) Comics,,,,https://i.ebayimg.com/images/g/OfMAAOSwI1hjnI71/s-l500.png,--,,,,,,,,,,,,,C ,2.76,9.95,highest_bidder,2,2022-12-23,"Windsor, Ontario, Canada",marmesza_0,1119,https://www.ebay.com/itm/364081591607?hash=item54c4f43537:g:OfMAAOSwI1hjnI71&amdata=enc%3AAQAHAAAAoBy30D22fA%2Fs4%2FO3hn516%2BxXxI63DoG3J%2BrBg1HEY3vt2rusTTcdIbkMhJNeDJuxwUDHkewKSReyOR0e2SY9XkqCc9zUjhtjHGxqpiUEN9GkzsXmxUsLw71BpchZxyQb87uDusDRmny9n2w1KK%2BQYmz1Mmn2tXeDxdHSGNtisfF00MP%2BzygIn3d2gB%2FyRdWA2UhWNeY4cVvSWzAW3eDN9Yc%3D%7Ctkp%3ABk9SR971tfunYQ
