Title,Series_Title,Issue_Number,Issue_Variant,Image_url,Condition,Grade,Publisher,Publication_Year,Format,Tradition,Features,Era,Type,Genre,Character,Series,Universe,Sale_Currency,Sale_Price,Shipping_Price,Sell_Method,Num_of_Bids,Time_of_Sale,Sellers_Location,Sellers_Handle,Sellers_Feedback_Score,listing_url
Spider-Man #1 Silver Torment Marvel Comic 1990 High Grade Todd McFarlane Cover,Spider-Man,1,,https://i.ebayimg.com/images/g/7McAAOSwjFBjNEaE/s-l500.jpg,Like New,,Marvel Comics,1990,,US Comics,,Copper Age (1984-1991),Comic Book,,Spider-Man (Peter Parker),,,US ,14.99,6.55,buy_it_now,,2022-12-23,"Ringwood, New Jersey, United States",rhergaby,616,https://www.ebay.com/itm/234712541641?hash=item36a5f529c9:g:7McAAOSwjFBjNEaE&amdata=enc%3AAQAHAAAAoNp0hPHle%2B1r9bWWPCJs75ds%2BRm%2BeBr6GupEuw5IFoQJhuf7olvc9zPzBGCIbTKVS1AVCY7eIihiiscNLOL48%2FP8DMeBknxmJlRtjFP2SHwAWroNkp4j4ePOqLiReA2vWctsAV8EpwM%2Be3p3SUSUxuLGxV0ZP8FE0raC6juNd2xNBU2ctiquMYzCISa%2B9fNbqw4mFCQoldQKAgI8Bjw2wIg%3D%7Ctkp%3ABk9SR6iexvynYQ
"Peter Parker The Spectacular Spider-Man Lot of 3 #29, #31, #32.  Marvel",Spectacular Spider-Man,17,,https://i.ebayimg.com/images/g/OqEAAOSwf2djmKAR/s-l500.png,--,9.0,Marvel Comics,1978,Single Issue,US Comics,"1st Edition, First Printing, Key Issue",Bronze Age (1970-83),Comic Book,"Superheroes, Action, Adventure","Spider-Man, Iceman, Spider-Man (Peter Parker), Angel (Warren Worthington III)",,Marvel (MCU),US ,5.99,10.85,highest_bidder,1,2022-12-23,"Cedar Grove, New Jersey, United States",asellers2013,469,https://www.ebay.com/itm/225297493875?hash=item3474c6ef73:g:OqEAAOSwf2djmKAR&amdata=enc%3AAQAHAAAAoEuAhcJcLCKPov6GqzAzPlBXBk5TgkJGDsn28nb5%2FcAnMMT32jMRQC4W5yWuC4tHy4yN7GY%2FmAxblCXwl%2BgBrqjsV3LMFtjbAE4jcfAH6HhnjKWhtOZSWe1Eaw3HdRbVndKxwb0LKJuV%2FTmWDMhMnLsEGJUrxS9Is0hPPo6%2B4SguJf2j4XFGuwKpPjaz0Tm0m0ceQKw3hSWFW0TI4CpS01g%3D%7Ctkp%3ABk9SR6qexvynYQ
Amazing Spider-Man #120 VG- 3.5 1973,Amazing Spider-Man,120,,https://i.ebayimg.com/images/g/8HAAAOSw5Rtjm6NP/s-l500.jpg,--,3.5,Marvel,1973,,US Comics,,Bronze Age (1970-83),Comic Book,,Spider-Man,,,US ,50.00,6.60,buy_it_now,,2022-12-23,"Arlington, Texas, United States",mycomicshop,465622,https://www.ebay.com/itm/134368173996?hash=item1f48f79fac:g:8HAAAOSw5Rtjm6NP&amdata=enc%3AAQAHAAAAoOYlpmKxiUKGKQvm429a95GZP1HmlGjXnGeNgMTxkYoOE1M6FgkJqEV5Y3HjdfXJbi7i5uQ%2FmH7EtuyyqfTOphjQH9Sp6srZtaz4KWEh4p9HH7vNmK8Qo2o%2FirJSDxx%2BYgabGGi3WCEzF8byEUXWZfyzLU3vzwMRjAjXtgrSwtoHuacAb9VyuYDjRF5%2B0W7omPsiYbwA9qXyN7I%2BhAdiVq8%3D%7Ctkp%3ABk9SR6qexvynYQ
Spider-Man the Lost Hunt 1B VF Stock Image,Spider-Man the Lost Hunt,1,B,https://i.ebayimg.com/images/g/zJ4AAOSw45RjlV6w/s-l500.jpg,--,8.0,Marvel,2023,,US Comics,,Modern Age (1992-Now),Comic Book,,Spider-Man,,,US ,13.00,6.60,buy_it_now,,2022-12-23,"Arlington, Texas, United States",mycomicshop,465622,https://www.ebay.com/itm/364076125152?hash=item54c4a0cbe0:g:zJ4AAOSw45RjlV6w&amdata=enc%3AAQAHAAAAoLqjrQzNCvr4pR7n%2Bjj%2BruUOqeGz5P90U6YXMZY3Coz0Mmx6ox7GGduK1cc7ipzvItBJlLyC13RrH0KyNdzaf0izF8Kgw0n%2FDsW9BVGz2h28evX7J1p2CdZAACOgEMoTQfgNy%2F1fAs3EFoqoQPRYIceGDp%2FYA1N3Xle6P9GQQi10zSmz%2FNqMgtIXwCv1gd438liKHi%2Bv6FDzoRYxur1zFbw%3D%7Ctkp%3ABk9SR6qexvynYQ
INFINITY WAR #1 (Marvel- 1992) - First Appearance of Spider-man Doppelganger,the living tribunal,1,,https://i.ebayimg.com/images/g/Xz8AAOSwaJljADi2/s-l500.jpg,Like New,,Marvel Comics,1992,Single Issue,US Comics,"1st Edition, Boarded, Dust Jacket, First Character Appearance, Key Issue",Modern Age (1992-Now),Comic Book,"Action, Adventure, Classics, Superheroes, War",Spider-Man,,Marvel (MCU),US ,20.00,3.49,best_offer_accepted,,2022-12-23,"Matthews, North Carolina, United States",jussea93,388,https://www.ebay.com/itm/195297513342?hash=item2d78a38f7e:g:Xz8AAOSwaJljADi2&amdata=enc%3AAQAHAAAAoH%2BD7yAUpT7WSRhwVKJU6SVI2vC5yDnxdRelOMdE%2FXHofrJJIY6MNQlGDLpWf9%2F%2BSdY8XZih%2BIvVGbwJG%2FVEYd5liGsSyWyhpX%2Bd8My5JbDwqi4S7Ioauhz%2FOy4iBTGpNLfOcmwWdnauf7%2Fa%2B%2BCf50J17%2BUMfVFMcvPQ17w177CyrPjKlOio1T44jrW5vvF%2FuxcMMcMamANm36jY9W5gJ7w%3D%7Ctkp%3ABk9SR6yexvynYQ
BATMAN SPAWN (#1) ONESHOT GREG CAPULLO 1ST PRINT COVER A (12/13/2022) DC,Batman Spawn,1,,https://i.ebayimg.com/images/g/bnUAAOSwO85jn~xF/s-l500.jpg,Brand New,9.8,DC Comics,2022,Single Issue,US Comics,"First Printing, Boarded, Limited Edition, One-shot, Special Edition",Modern Age (1992-Now),Cover Variant - A,"Action, Adventure, Crime & Thriller, Cyberpunk, Fantasy, Fiction, Science Fiction, Superheroes, Supernatural, Suspense, War","Batman, Superman, Catwoman, Deadpool, Harley Quinn, Azrael, Batgirl (Barbara Gordon), Batman (Bruce Wayne), Black Panther, Carnage, Constantine, Darth Maul, Deadshot, Deathlok, Gambit, Gwenpool, Joker, Lobo, Moon Knight, Penguin, Robin (Damian Wayne), Robin (Dick Grayson), Spider-Man (Miles Morales), Two-Face (Harvey Dent), Wolverine (Logan)",Batman Spawn,DC Universe,US ,6.99,6.50,buy_it_now,,2022-12-23,"Joliet, Illinois, United States",jewk80,1045,https://www.ebay.com/itm/144792376766?hash=item21b64c55be:g:bnUAAOSwO85jn~xF&amdata=enc%3AAQAHAAAAoOmCfWugvBmY8yGsTKwjraAon3lBrI%2BDFAVaRQKoIut0T0I4H0rAKyQrJNIqINVJ0P%2F%2FXWHvgLA7JDRbBVsvtfUJ%2FyXETqxbC1HZW70M%2BPhGzEyPOWO%2Fj%2BozKXCWeapXqNQ88GuwQBeO8Vjd0d%2Fs%2FMieRPkHyeusynwfa8OVvT82i8Hpu6jvwtmiCJNVtzaN2WemBPeokCgZWXF0Bb74Lr8%3D%7Ctkp%3ABk9SR6qexvynYQ
SPIDERMAN VS. DEADPOOL #38  MARVEL COMICS 2019 VF+,,,,https://i.ebayimg.com/images/g/mLcAAOSwzj1iQaqr/s-l500.jpg,--,,,,,,,,,,,,,US ,8.00,0.0,buy_it_now,,2022-12-23,"Miami, Florida, United States",pandpcomics,11274,https://www.ebay.com/itm/334302211340?hash=item4dd5f6ed0c:g:mLcAAOSwzj1iQaqr&amdata=enc%3AAQAHAAAAoMC01XpvH8AdlkH2d62zQAHAVTfpAr6h243VHDGKB6UCTgTSAvzYHDNqgIGcf4dPfFMjdKRq%2F2js8BHNKtP%2FpvVp%2Bljg7iElbBMxmu71uZ%2FIOp%2FDeO1kI2WgmYP02ky0s4P74bRFoeojMYazS6AER%2BdvHmLyYwfOROWEOFdSUKqSI0%2F7ZSvp68iRE%2F6s3Hwbo0VVJXLno6m%2FFQRuKmQeXsk%3D%7Ctkp%3ABk9SR6yexvynYQ
Amazing Spider-Man #14B FN Stock Image,Amazing Spider-Man,14,B,https://i.ebayimg.com/images/g/kGYAAOSwE8xjmPVc/s-l500.jpg,--,6.0,Marvel,2023,,US Comics,,Modern Age (1992-Now),Comic Book,,Spider-Man,,,US ,9.20,6.60,buy_it_now,,2022-12-23,"Arlington, Texas, United States",mycomicshop,465622,https://www.ebay.com/itm/314273295541?hash=item492c25ecb5:g:kGYAAOSwE8xjmPVc&amdata=enc%3AAQAHAAAAoEr2%2Br%2FiEjF4r1gLbA88nheLIW%2FtZ755fCdKx7KICQCdbDN4Z%2F92a78%2BIvgwPQFZq%2Byl9aH%2Foty%2FpV7%2F5NgabV563lFJzVKyoAVySqsb8JhrP9unlonlkb3ETrOlSO6x%2FV%2BRHbKLKNIG9%2F2qu1EuZd3LIERfvK16qoWZWFl96CqvbuBtEPoT%2B%2FV6V%2BxXuSt3kG%2FMASjkikMDkTB8xd4Yl7c%3D%7Ctkp%3ABk9SR6qexvynYQ
Spider-Man the Manga #1 Marvel Imports 1st English Printing 1997 Anime Japanese,Spider-Man the Manga,1,,https://i.ebayimg.com/images/g/yikAAOSwFrJjKewg/s-l500.jpg,Acceptable,4.0,Marvel Comics,1997,Single Issue,US Comics,"First Printing, 1st Edition, Boarded, Key Issue",Modern Age (1992-Now),Cover Variant - A,"Action, Adventure, Shonen, Superheroes","Electro, Spider-Man",,"Marvel (MCU), Marvel Mangaverse",US ,12.99,4.99,buy_it_now,,2022-12-23,"Denver, North Carolina, United States",dagashiyausa,11,https://www.ebay.com/itm/354290066914?hash=item527d5565e2:g:yikAAOSwFrJjKewg&amdata=enc%3AAQAHAAAAoPk2Agw%2FpCAMN3VLejga%2F31bKoB3JeKznyQP%2BbTYR6gNcRpLc%2F0mvhswkeERrwUCMKIhfhMG%2F9wV%2Bqo3%2FmHMamNSfO%2BPYLOz17he7tR95ayAeF6Wmo03IGSy7zt%2B7tPQiIaThGY87JJ6mLNHxExNNCcA%2BBVAPs%2FMOTk1uNQ51yLAfeoPHDar7Xu4%2BOjnxzqipnZ1InP3J7qqvSg6sUXx%2Brk%3D%7Ctkp%3ABk9SR6qexvynYQ
Mixed Spiderman comic book lot. 5 Books Total. Excellent Condition!,Spider-Man,,,https://i.ebayimg.com/images/g/IpQAAOSwyZdjj1pQ/s-l500.png,--,,,,Mixed Lot,US Comics,,,Comic Book,,,,,US ,5.99,3.49,highest_bidder,2,2022-12-23,"Milford, Connecticut, United States",bayviewdesignllc,322,https://www.ebay.com/itm/155312952447?hash=item24295f947f:g:IpQAAOSwyZdjj1pQ&amdata=enc%3AAQAHAAAAoPW6LbCS9halGa7hv8McO9GHi9FoaHVJ4hO1Kb0oLrixVS%2F3CnfCjm0W9ViL3ClAw5krDSiCQY%2Buj9PiEhkIn%2B8YBGkVSic%2BiEXsz8F9TGDh1%2FHp9rGi3sPVWy%2B3wlTB3J9xXAKm%2Bp3xw0T8lhBLKbW%2BN6QrH%2F5Q9jOXHz%2FQJl1fNxmlZ9NrMOb4ouPOBXCTtOgXHBeAxGd47gk0%2FtDK3%2FY%3D%7Ctkp%3ABk9SR6qexvynYQ
