Title,Series_Title,Issue_Number,Issue_Variant,Image_url,Condition,Grade,Publisher,Publication_Year,Format,Tradition,Features,Era,Type,Genre,Character,Series,Universe,Sale_Currency,Sale_Price,Shipping_Price,Sell_Method,Num_of_Bids,Time_of_Sale,Sellers_Location,Sellers_Handle,Sellers_Feedback_Score,listing_url
🔥 The Amazing Spider-Man #1 | 2022 | EMINEM Variant | In-Hand Ready to Ship 🔥,The Amazing Spider-Man,1,,https://i.ebayimg.com/images/g/lAsAAOSw3gJjohCm/s-l500.jpg,Brand New,,Marvel Comics,2022,Single Issue,US Comics,"First Printing, 1st Edition",Modern Age (1992-Now),Comic Book,,Spider-Man (Peter Parker),,,US ,165.00,9.99,buy_it_now,,2022-12-26,"Kansas City, Missouri, United States",sethgunderson,32,https://www.ebay.com/itm/304748410893?hash=item46f46bb80d:g:lAsAAOSw3gJjohCm&amdata=enc%3AAQAHAAAAoM%2Bo32LamRTC%2FVemziHeKeHHDn3m4RwMEjr98mvRk5Ke0%2FXMRpyGe9ys50%2FXxrW9DUvpxGl5d7UPgvlOJzAlHTjT1Yg9MCUCjCHburPRbRb%2FBk2SToHvBAkjpIMXDuEZsxzdct4FayOIAlTi1DVJ50HkPwLfEdp%2FhTYwG0jCkvOVfTscfioxXYtliaknBP%2FbSyOOuStCySmDhri3TD3W7yk%3D%7Ctkp%3ABk9SR_jc-oeqYQ
"AMAZING SPIDER-MAN (2022) 1 EMINEM SPOTLIGHT VARIANT LTD TO 1,000 NM **IN HAND**",Amazing Spider-Man,1,,https://i.ebayimg.com/images/g/LnAAAOSwp6JjoOB1/s-l500.jpg,--,,Marvel Comics,2022,,US Comics,,,,,,,,US ,400.00,10.85,highest_bidder,31,2022-12-26,"Woodstock, Connecticut, United States",alexsacc77,198,https://www.ebay.com/itm/404063666646?hash=item5e141241d6:g:LnAAAOSwp6JjoOB1&amdata=enc%3AAQAHAAAAoCVwZcG0%2FonliCndIaB3JWTWTikt3lVzH0Lsr9gcZQwE9koAKPkoKEHalmy0PE1UEgoCltutAV5iXCDAK117jTpKRkMOVLuzsM9zBuQB0oCBIaDGYmd6y1e4vxdS9I8gil75xEksRHZ4qtRcpWEWjCVQXV8EkVeIrwTgSYLa1y0NxjcFc9xqSgZIdFkrfMZYpUqs4Ag3q%2FKSzAkdgbm%2Bi7Q%3D%7Ctkp%3ABk9SR_jc-oeqYQ
What If? Featuring Spider-Man The Other #1  Poison. Venom Symbiote,What If? Spider-Man The Other,1,,https://i.ebayimg.com/images/g/J98AAOSwbDNje67t/s-l500.jpg,--,,Marvel,2007,,US Comics,,Modern Age (1992-Now),,,Leonardo,,,US ,18.99,0.0,best_offer_accepted,,2022-12-26,"Amherst, Ohio, United States",bigal836,1752,https://www.ebay.com/itm/234789276174?hash=item36aa880a0e:g:J98AAOSwbDNje67t&amdata=enc%3AAQAHAAAAoMHaIXSVAN%2BCpii4sB0sgrdAkvOLt4XSyHer96NUkj3AGIQbq%2Fyy6Sk7M6A8VB7opi%2F6zgH9xoUVKqf6vjBMpHhNSX%2FvB4S52ex3UuGwuZgi75jz6e7K%2BeQjbaDDamlN7KVA3PyXfCawSHcb%2BqDyIXLCKpJ4w35xP0qhLPi1ZtOV44wYiEyoAEN5GPPu%2FUMSXq9R8E0KCVuIebWRaXbrWKk%3D%7Ctkp%3ABk9SR_rc-oeqYQ
Amazing Spider-Man 252 CGC 9.4 -  1st Appearance of Symbiote Suit,Amazing Spider-Man,,,https://i.ebayimg.com/images/g/J5wAAOSwjt1jBClg/s-l500.jpg,Like New,9.4,Marvel Comics,1984,Single Issue,US Comics,Key Issue,Copper Age (1984-1991),,,Spider-Man (Peter Parker),,,US ,400.00,11.00,buy_it_now,,2022-12-26,"Williamsport, Pennsylvania, United States",spn5038-6,15,https://www.ebay.com/itm/334540023467?hash=item4de423a6ab:g:J5wAAOSwjt1jBClg&amdata=enc%3AAQAHAAAAoFmQ8m5bnxlP8mcayCo0PmlHEL3oZDL50Eesf9V2LtqbHuy1HB%2FoDHBZhmo0uYm4iXaPT49WpLPGqcRbhlF5UAC5%2F%2FHzk%2BcR8TIJhuIoh0GBh9M0yfuLky5avWDDILUUiFWIJ9gF27tKxAOaX6ICy2MZ9BZ%2F5HF%2Br6aTg%2BAnWyuT1LKNFtYZ9ziEMt5CValn0541iD%2F7xfge4kLbNvna8V0%3D%7Ctkp%3ABk9SR_jc-oeqYQ
SPIDER-MAN #1 1:100 DITKO HIDDEN GEM VARIANT (MARVEL 2022) COMIC Bagley,Spider-Man,1,,https://i.ebayimg.com/images/g/214AAOSwfxpjqN0B/s-l500.jpg,Brand New,,Marvel Comics,2022,Single Issue,US Comics,First Print,Modern Age (1992-Now),Comic,Superheroes,SPIDER-MAN,,SPIDER-MAN,US ,30.00,6.55,buy_it_now,,2022-12-26,"Baltimore, Maryland, United States",gorillabids03,310,https://www.ebay.com/itm/255896325525?hash=item3b949c0d95:g:214AAOSwfxpjqN0B&amdata=enc%3AAQAHAAAAoLM58LdskwaVzTzzs8XCOMju83zP8hTgebxeW2GnqF37X%2BzPbCk5swjo9vigOTLR6l55i8GBliPlMve5BkGsNi3xgCrfC0vbO2KsoIkoTIMBFAK3U2NhCzFZadxwjkOIXQtixmggpWClHcLClXfPfltkTbVz6jc7CacotpOZUEWy9d56NSN1mNMx%2FCPoLe6dwai9soESUnGaNRxvgAlilRA%3D%7Ctkp%3ABk9SR_rc-oeqYQ
"MARVEL FANTASY MASTERPIECES, SILVER SURFER #14 **Spider-Man! Newsstand!** (VF)",,,,https://i.ebayimg.com/images/g/HOcAAOSwEtdjZAGz/s-l500.jpg,--,,Marvel Comics,,,US Comics,,Bronze Age (1970-83),Comic Book,,,,,US ,14.95,4.95,buy_it_now,,2022-12-26,"Ossining, New York, United States",smilelp,15729,https://www.ebay.com/itm/165758810155?hash=item2697feb82b:g:HOcAAOSwEtdjZAGz&amdata=enc%3AAQAHAAAAoLFU9hUAL2stfEQ9pnBu%2Bd73xFjIqbBcCAtHDLPODO2SPleVU9bIuWd2q9UCdnxNa6URG8sIn%2BzRQirHMRRL11BhQF6vIRhSpPbJt5wmUOqvOBfp%2B04UrR1tQNME8PP7KlxZgP%2FHVue8LoQzk8SZXq4N0llbexq8C1uIIbR%2BMssmOV7ECeUuc7UXxaEpHl7ARVQAJek3jCyj5d%2BGYydBZW8%3D%7Ctkp%3ABk9SR_zc-oeqYQ
SIMPSONS COMICS #137 (Bongo Comics 2007) -- VF/NM Or Better,The Simpsons,1,,https://i.ebayimg.com/images/g/oLsAAOSwC31jbpYP/s-l500.jpg,Very Good,9.0,Bongo Comics,2007,Single Issue,US Comics,Boarded,Modern Age (1992-Now),Cover Variant - A,"Cartoon, Comedy, Movie & TV","Batman (Bruce Wayne), Spider-Man (Peter Parker)",,"DC Universe, Marvel (MCU)",US ,7.64,4.75,buy_it_now,,2022-12-26,"Las Vegas, Nevada, United States",maximum-comics,17722,https://www.ebay.com/itm/204149751570?hash=item2f8845ff12:g:oLsAAOSwC31jbpYP&amdata=enc%3AAQAHAAAAoOk5MskCIShYaSTe8KUGuKF1Odeg6Ayl0zPNXn14ypU4LadwHJjNn4ProaOm6xA9pZYI9pPygg%2FgqjlTLI4d2%2BF9vTB3SHLmsKrbk4omk0YQMYOPfgnj403weo9wAJ1JWW%2BoAwcO1ZXP4A4L1%2BhVTMRLankn0ZyDmONxPqtype8NIH0qp9jIThWYVeAOncMdKNLGsiAW9rERXD5Ee4vm41E%3D%7Ctkp%3ABk9SR_rc-oeqYQ
AMAZING SPIDER-MAN #1 PATRICK GLEASON QUEEN GOBLIN WEBHEAD VARIANT,Amazing Spider-Man,1,,https://i.ebayimg.com/images/g/BhwAAOSw4NNi4bHV/s-l500.jpg,Like New,,,,,US Comics,,,,,,,,US ,3.99,6.55,buy_it_now,,2022-12-26,"New York, New York, United States",castillocomics,511,https://www.ebay.com/itm/165598842223?hash=item268e75cd6f:g:BhwAAOSw4NNi4bHV&amdata=enc%3AAQAHAAAAoAjCQrciJ44zG9LhxbHfGlUDIqa9JDUUqGaosVjeZoDY8Z3Hm4hJzbhGJaDnBjoPOrM8iX6N8sMl8xVwTSc6ikDV4WWtcc1syLUZnLEU%2FkGXlT0bSvl5XRaFeYWNAg7tPCyEQ1NtBNzG8zovyBuW8vGk4zmqNiWI3N%2BIyjGHgpPkgtds09xPoqZ0wcppSvMtbW3g3Mg325bFuRAnXqjvEwM%3D%7Ctkp%3ABk9SR_rc-oeqYQ
SIMPSONS COMICS #141 (Bongo Comics 2008) -- VF/NM Or Better,The Simpsons,1,,https://i.ebayimg.com/images/g/EHAAAOSwRYFjbpZO/s-l500.jpg,Very Good,9.0,Bongo Comics,2008,Single Issue,US Comics,Boarded,Modern Age (1992-Now),Cover Variant - A,"Cartoon, Comedy, Movie & TV","Batman (Bruce Wayne), Spider-Man (Peter Parker)",,"DC Universe, Marvel (MCU)",US ,7.64,4.75,buy_it_now,,2022-12-26,"Las Vegas, Nevada, United States",maximum-comics,17722,https://www.ebay.com/itm/195466569841?hash=item2d82b72871:g:EHAAAOSwRYFjbpZO&amdata=enc%3AAQAHAAAAoJ%2Bcbue6AnlpLG8CsJ4tyC4n6qphxHSOim4du4Dua5BBxx7ciaZxKoosR1VU6TEpEWcBY%2FPdPny8Dpfd2l8Y%2F2WQHISm9uwkmlsGXRzhr%2BrMEL%2FsFg%2BO%2FHGxyxuR%2FHgibQgZZ%2FPEokQOj95zcLJCcV9K2x0iH6sHavhQcxBc27SiaAQWl%2BtfREhmFdlBXTSQ9gT2tobu%2F%2Bw%2FDytEL3gMFtM%3D%7Ctkp%3ABk9SR_rc-oeqYQ
Venom Lethal Protector #3 CGC 9.8 White Pages Marvel Comics 1993 Spider-Man Key!,Venom Lethal Protector,3,,https://i.ebayimg.com/images/g/4lkAAOSw0INjmi0i/s-l500.png,Like New,9.8,Marvel Comics,1993,Single Issue,US Comics,"First Printing, Key Issue",Modern Age (1992-Now),Comic Book,Superheroes,Venom,Venom,Marvel (MCU),US ,69.99,12.00,buy_it_now,,2022-12-26,"South Haven, Minnesota, United States",mhodsd00,1077,https://www.ebay.com/itm/185711232531?hash=item2b3d408613:g:4lkAAOSw0INjmi0i&amdata=enc%3AAQAHAAAAoAWAKNcBQy0WWev86QrdAwi4VSHtd0nn%2FpXIVvQ%2BKn8WEugOemedWnnD1ElWZT8lAUkQIdkwc1K5rBaGMKoKUH3cG1G3e4y0djYj5r4B9VVqscO0egf9m2E5IQNGk%2FxzVtwvH4Q8tJBTycecd5GGmBxfHsiasg1WIMLx8NIq0WCNQqm94pBkG%2BmPoiB2v1lcpxx2ts6cikRk92okVabJkkc%3D%7Ctkp%3ABk9SR_zc-oeqYQ
