Title,Series_Title,Issue_Number,Image_url,Condition,Grade,Publisher,Publication_Year,Format,Tradition,Features,Era,Type,Genre,Character,Series,Universe,Sale_Price,Sell_Method,Num_of_Bids,Shipping_Price,Time_of_Sale,Sellers_Location,Sellers_Handle,Sellers_Feedback_Score
Amazing Fantasy 15 & Hulk 181 Facsimile Lot NM+ 1st Wolverine & Spider-Man,Amazing Spider-Man,15,https://i.ebayimg.com/images/g/mIkAAOSwGjtjboD4/s-l500.jpg,--,,Marvel Comics,"2022",,US Comics,First Printing,Silver Age (1956-69),Comic Book,Superheroes,Spider-Man,,Marvel (MCU),US $110.00,buy_it_now,,$10.85,"Dec 05, 2022","Astoria, New York, United States",logic1016,284
AMAZING SPIDERMAN 360 CGC 7.5 3/92 1ST APP OF CARNAGE IN CAMEO NEWSSTAND,Amazing Spider-Man,,https://i.ebayimg.com/images/g/FRgAAOSwLbJhYeJF/s-l500.jpg,--,,,,,US Comics,,,,,Carnage,,,US $29.00,buy_it_now,,$15.75,"Dec 05, 2022","Brooklyn, New York, United States",comicbookstation,5144
CGC 7.0 Spider-Man #1  8/90 Silver Edition White Pages Lizard App.  FN/VF,Absolute Carnage,,https://i.ebayimg.com/images/g/3YsAAOSwtDFjZRZE/s-l500.jpg,--,7.0 Fine/Very Fine,,,,US Comics,,,,,,,,C $50.00,buy_it_now,,C $35.00,"Dec 05, 2022","Chateauguay, Canada",acidic666,922
THE AMAZING SPIDER-MAN #39 Green Goblin 1966 Marvel,The Amazing Spider-Man,39,https://i.ebayimg.com/images/g/qd4AAOSwgX9jjbl7/s-l500.jpg,--,,Marvel Comics,1966,,US Comics,,,,Superheroes,,,,US $75.00,best_offer_accepted,,$5.90,"Dec 05, 2022","Rockport, Texas, United States",mommarobinscomics,0
Marvel Comics Amazing Spider-Man #6 CGC Graded 2.0 First Appearance Of Lizard,Amazing Spider-Man,,https://i.ebayimg.com/images/g/Av4AAOSwR9hjVRGN/s-l500.jpg,Good,,Marvel Comics,,,US Comics,,,,,Lizard,,,GBP 380.00,highest_bidder,37,GBP 35.00,"Dec 05, 2022","Fareham, United Kingdom",comic-box,3813
AMAZING SPIDERMAN 1 MARK BROOKS BLUE VIRGIN VARIANT  BLACK CAT B vol 5 2018,Amazing Spider-Man,1,https://i.ebayimg.com/images/g/CL8AAOSw47xjeUBs/s-l500.png,Acceptable,NM,MARVEL,,,US Comics,,,,,Spider-Man,,,US $34.99,best_offer_accepted,,$5.50,"Dec 05, 2022","Waynesboro, Pennsylvania, United States",maiden314,800
🔥B2G1FREE🔥 Marvel: Star Wars High Republic 7 - Turini Trade Variant (See desc,Batman/Superman,13,https://i.ebayimg.com/images/g/SegAAOSwa0ljK9qs/s-l500.jpg,Brand New,,Marvel Comics,2022,Single Issue,US Comics,"First Printing, Boarded, Certificates of Authenticity (COA) Included, Collector's Edition, Limited Edition, Set, Variant Cover",Modern Age (1992-Now),"Cover Variant - Artist Cover, Cover Variant - B, Incentive Variant, Retailer Exclusive Variant, Store Variant, Virgin Variant","Action, Adventure, Cartoon, Fantasy, Fiction, Horror & Sci-Fi, Monster, Mystery, Occult, Science Fiction, Superheroes, Supernatural","Catwoman, Deadpool, Harley Quinn, Batman (Bruce Wayne), Black Cat (Felicia Hardy), Carnage, Joker, Knull, Moon Knight, Punisher, Spider-Gwen, Spider-Man (Miles Morales), Spider-Man (Peter Parker), Venom, Wolverine (Laura Kinney), Wolverine (Logan), Wonder Woman (Diana Prince)",,"Alien, Buffy the Vampire Slayer, DC Universe, Marvel (MCU)",US $11.99,buy_it_now,,$4.99,"Dec 05, 2022","Providence, Rhode Island, United States",thecollectorer,449
🔥B2G1FREE🔥 Marvel: Star Wars: War of the Bounty Hunters 1 - Duursema Variant,Batman/Superman,13,https://i.ebayimg.com/images/g/KnAAAOSwWfBjLOQ-/s-l500.jpg,Brand New,,Marvel Comics,2022,Single Issue,US Comics,"First Printing, Boarded, Certificates of Authenticity (COA) Included, Collector's Edition, Limited Edition, Set, Variant Cover",Modern Age (1992-Now),"Cover Variant - Artist Cover, Cover Variant - B, Incentive Variant, Retailer Exclusive Variant, Store Variant, Virgin Variant","Action, Adventure, Cartoon, Fantasy, Fiction, Horror & Sci-Fi, Monster, Mystery, Occult, Science Fiction, Superheroes, Supernatural","Catwoman, Deadpool, Harley Quinn, Batman (Bruce Wayne), Black Cat (Felicia Hardy), Carnage, Joker, Knull, Moon Knight, Punisher, Spider-Gwen, Spider-Man (Miles Morales), Spider-Man (Peter Parker), Venom, Wolverine (Laura Kinney), Wolverine (Logan), Wonder Woman (Diana Prince)",,"Alien, Buffy the Vampire Slayer, DC Universe, Marvel (MCU)",US $13.49,buy_it_now,,$4.99,"Dec 05, 2022","Providence, Rhode Island, United States",thecollectorer,449
🔥B2G1FREE🔥 Marvel: Star Wars High Republic 10 Turini Trade Variant (See desc.,Amazing Spider-Man,26,https://i.ebayimg.com/images/g/NzgAAOSwIExjLSSf/s-l500.jpg,Brand New,,Marvel Comics,2022,Single Issue,US Comics,"First Printing, Boarded, Certificates of Authenticity (COA) Included, Collector's Edition, Limited Edition, Set, Variant Cover",Modern Age (1992-Now),"Cover Variant - Artist Cover, Cover Variant - B, Incentive Variant, Retailer Exclusive Variant, Store Variant, Virgin Variant","Action, Adventure, Cartoon, Fantasy, Fiction, Horror & Sci-Fi, Monster, Mystery, Occult, Science Fiction, Superheroes, Supernatural","Catwoman, Deadpool, Harley Quinn, Batman (Bruce Wayne), Black Cat (Felicia Hardy), Carnage, Joker, Knull, Moon Knight, Punisher, Spider-Gwen, Spider-Man (Miles Morales), Spider-Man (Peter Parker), Venom, Wolverine (Laura Kinney), Wolverine (Logan), Wonder Woman (Diana Prince)",,"Alien, Buffy the Vampire Slayer, DC Universe, Marvel (MCU)",US $12.00,buy_it_now,,$4.99,"Dec 05, 2022","Providence, Rhode Island, United States",thecollectorer,449
🔥B2G1FREE🔥 Marvel: Star Wars War of the Bounty Hunters 4 - Kirkham Trade,Star Wars: War of the Bounty Hunters,4,https://i.ebayimg.com/images/g/kgAAAOSwsedjKSFg/s-l500.jpg,Brand New,,Marvel Comics,2022,Single Issue,US Comics,"First Printing, Boarded, Certificates of Authenticity (COA) Included, Collector's Edition, Limited Edition, Set, Variant Cover",Modern Age (1992-Now),"Cover Variant - Artist Cover, Cover Variant - B, Incentive Variant, Retailer Exclusive Variant, Store Variant, Virgin Variant","Action, Adventure, Cartoon, Fantasy, Fiction, Horror & Sci-Fi, Monster, Mystery, Occult, Science Fiction, Superheroes, Supernatural","Catwoman, Deadpool, Harley Quinn, Batman (Bruce Wayne), Black Cat (Felicia Hardy), Carnage, Joker, Knull, Punisher, Spider-Gwen, Spider-Man (Miles Morales), Spider-Man (Peter Parker), Venom, Wolverine (Laura Kinney), Wolverine (Logan), Wonder Woman (Diana Prince)",,"Alien, Buffy the Vampire Slayer, DC Universe, Marvel (MCU)",US $10.00,buy_it_now,,$4.99,"Dec 05, 2022","Providence, Rhode Island, United States",thecollectorer,449
